-1-1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1-1-  - ------11- -----11--  --11------11-------   4  0
1--1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1--1  1 ------11- -----11--  --11------11------1   4  0
-1-1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1-1-  - ------11- -----11--  --11------11-------   4  0
1--1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1--1  1 ------11- -----11--  --11------11------1   4  0
-1-1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1-1-  - ------11- -----11--  --11------11-------   4  0
1--1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1--1  1 ------11- -----11--  --11------11------1   4  0
-1-1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1-1-  - ------11- -----11--  --11------11-------   4  0
1--1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1--1  1 ------11- -----11--  --11------11------1   4  0
-1-1-1-1-1-1-11-1--1-1-1-1-1-11-1--1-1  19,19  1-1--1-11-1-1-1-1-1--1-11-1-1-1-1-1-1-  - ------11- -----11--  --11------11-------   4  0
1--1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1  19,19  1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1--1  1 --------- ---------  ------------------1   0  0
-11--1-1-1-1-1-1-1-11--1-11-1--11--11-  19,19  -11--11--1-11-1--11-1-1-1-1-1-1-1--11-  - 1-------- 1--11-1-1  1-1-11--1--------1-   6  0
1--11--1-1-1-1-1-1-11-1--1-1-11-1--11-  19,19  -11--1-11-1-1--1-11-1-1-1-1-1-1--11--1  1 -1------- 11---11-1  1-11---11-------1-1   6  0
-1-11-1--11--1-11--11--1-1-1-1-11--1-1  19,19  1-1--11-1-1-1-1--11--11-1--11--1-11-1-  - -11-1--1- 1-----1--  --1-----1-1--1-11--   6  0
1-1--1-11-1--1-11--11--11--1-1-11--11-  19,19  -11--11-1-1--11--11--11-1--1-11-1--1-1  1 1--11--1- 1-1---1-1  1-1---1-1-1--11--11   8  0
-11-1--1-11--1-11--1-1-11--1-1-11--1-1  19,19  1-1--11-1-1--11-1-1--11-1--11-1--1-11-  - 11--1--1- --1---1--  --1---1---1--1--11-   6  0
1--11--1-1-1-1-1-1-1-1-1-1-1-1-1-1-11-  19,19  -11-1-1-1-1-1-1-1-1-1-1-1-1-1-1--11--1  1 -1------- --------1  1---------------1-1   2  0
-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1  19,19  1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-  - --------- ---------  -------------------   0  0
1--1-1-1-1-11--1-1-11--1-1-1-1-1-1-1-1  19,19  1-1-1-1-1-1-1-1--11-1-1--11-1-1-1-1--1  1 -----1--- 1--------  --------1---1-----1   2  0
